ResponseId	Resp_age	Relationship_lenght_month	Cohabitation_lenght_month	Long_term_relationship_yes_no	Grew_up_with_biol_and_nonbiol_yes_no	Grew_up_with_only_one_nonbiol	Biol_in_one_household_after_divorce_yes_no	Biol_in_one_household_after_divorce_yes_no_lenth	Resp_occupation	Resp_sexual_orientation	Grew_up_from_biol	Grew_up_till_biol	Biol_residence	Biol_education	Biol_religion	Biol_policy	Biol_wealth	Biol_profession	Biol_height	Biol_weight	Biol_attractiveness	Biol_masculinity	Biol_eye_colour	Biol_eye_colour_dark_light	Biol_hair_colour	Biol_hair_colour_natural_yes_no	Biol_hair_colour_natural	Biol_facial_masculinity	Biol_beard	Biol_muscularity	Biol_BMI	Biol_relative_height	Biol_body_hair	Biol_Extraversion	Biol_Agreebleness	Biol_Conscientiousness	Biol_Emotional_stability	Biol_Oppeness	Biol_IPIP	Biol_EMBU_rejection	Biol_EMBU_emotional_warmth	Biol_EMBU_overprotection	Nonbiol_EMBU_rejection	Nonbiol_EMBU_emotional_warmth	Nonbiol_EMBU_overprotection	Biol_relationship_quality	Mother_relationship_quality	Part_residence	Part_education	Part_religion	Part_policy	Part_wealth	Part_occupation	Part_profession	Part_height	Part_weight	Part_attractiveness	Part_masculinity	Part_eye_colour	Part_eye_colour_dark_light	Part_hair_colour	Part_hair_colour_natural_yes_no	Part_hair_colour_natural	Part_facial_masculinity	Part_beard	Part_muscularity	Part_BMI	Part_relative_height	Part_body_hair	Part_Extraversion	Part_Agreebleness	Part_Conscientiousness	Part_Emotional_stability	Part_Oppeness	Part_IPIP		Remember_biol_yes_no	Grew_up_from_biol	Grew_up_till_biol	Meeting_biol_after_divorce	Remember_nonbiol_yes_no	Grew_up_from_nonbiol	Grew_up_till_nonbiol	Who_is_considered_as_father_biol_nonbiol	Nonbiol_residence	Nonbiol_education	Nonbiol_religion	Nonbiol_policy	Nonbiol_wealth	Nonbiol_profession	Nonbiol_height	Nonbiol_weight	Nonbiol_attractiveness	Nonbiol_masculinity	Nonbiol_eye_colour	Nonbiol_eye_colour_dark_light	Nonbiol_hair_colour	Nonbiol_hair_colour_natural_yes_no	Nonbiol_hair_colour_natural	Nonbiol_facial_masculinity	Nonbiol_beard	Nonbiol_muscularity	Nonbiol_BMI	Nonbiol_relative_height	Nonbiol_body_hair	Nonbiol_Extraversion	Nonbiol_Agreebleness	Nonbiol_Conscientiousness	Nonbiol_Emotional_stability	Nonbiol_Oppeness	Nonbiol_IPIP	Mother_relationship_quality	Biol_relationship_quality_before_divorce	Biol_relationship_quality_after_divorce	Nonbiol_relationship_quality
R_6E8YOK4cEe4vg1L	28	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_efyoVHjIXXXMUnP	22	5	0	1	NA	NA	NA	NA	3	3	0	19	8	7	4	5	3	3	190	100	4	6	4	2	2	1	NA	3	1	5	5	3	2	5	4	13	8	10	69	20	8	32	NA	NA	NA	9	18	2	6	5	4	2	1	4	170	70	6	5	3	2	1	1	NA	2	3	5	3	5	4	10	13	8	10	6	57		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_b9JfTJ1SQWYC1oh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_0Niob4j729HRftb	29	NA	NA	2	NA	NA	NA	NA	2	3	0	17	5	7	5	3	2	5	183	90	6	6	2	1	1	1	NA	3	1	5	4	3	2	14	12	13	13	9	47	10	17	24	NA	NA	NA	15	16	3	3	5	8	3	2	5	176	76	6	3	2	1	3	1	NA	4	1	3	3	5	3	14	10	6	9	12	57		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_42auA6B3hy8KCgJ	30	50	45	1	NA	NA	NA	NA	2	2	0	15	3	7	7	3	4	6	168	80	4	3	4	2	3	1	NA	3	4	3	3	4	4	7	7	5	10	8	38	9	14	15	NA	NA	NA	15	18	3	6	5	3	4	3	6	181	120	6	6	2	1	2	1	NA	2	4	5	5	1	4	10	9	7	7	10	55		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3Kntoukor1qWLBj	28	29	26	1	NA	NA	NA	NA	2	4	0	19	8	2	5	3	4	5	186	86	3	5	3	2	2	1	NA	2	1	5	4	1	5	3	4	13	2	2	70	25	8	32	NA	NA	NA	8	15	2	3	5	2	3	4	1	186	82	6	7	2	1	3	1	NA	3	1	5	2	1	1	4	6	14	10	14	50		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_72GOa2uHgkoPUuF	24	NA	NA	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8v5rH6JA2GYVd3f	21	60	40	1	NA	NA	NA	NA	1	2	0	21	5	3	7	9	3	5	174	76	7	6	3	1	2	1	NA	2	2	6	3	1	3	12	12	10	11	11	47	9	19	19	NA	NA	NA	19	19	6	2	7	9	3	2	5	170	60	5	6	3	2	3	1	NA	2	1	4	2	3	2	11	12	10	9	7	33		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8j0soUBmgpSSqWN	24	57	25	1	NA	NA	NA	NA	2	2	0	21	6	3	1	6	3	5	180	78	4	5	3	2	1	1	NA	4	1	4	4	1	3	12	8	12	12	3	47	10	15	15	NA	NA	NA	19	21	2	3	1	9	3	2	2	192	86	6	6	2	2	2	1	NA	3	1	4	3	1	3	7	14	13	14	4	26		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_bejRytsYeYkbwjP	26	108	0	1	NA	NA	NA	NA	2	1	0	26	8	2	5	6	3	5	175	72	6	5	4	2	2	1	NA	3	1	4	3	5	3	6	8	10	12	10	43	9	17	13	NA	NA	NA	14	20	8	7	7	5	3	3	4	181	87	7	6	3	1	3	1	NA	2	1	5	4	4	3	5	12	8	7	10	42		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6LRroX3yFqbAZQp	33	140	90	1	NA	NA	NA	NA	2	1	0	20	1	7	1	3	3	4	177	88	5	5	5	2	1	1	NA	3	3	4	2	2	5	10	14	14	14	10	27	8	21	17	NA	NA	NA	19	21	1	7	1	6	2	2	4	182	72	7	5	5	2	3	1	NA	2	1	5	2	3	1	12	8	13	12	11	53		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_bKQktjJX4RT287z	22	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_0HPqJ2EIxUpWDiZ	23	NA	NA	2	NA	NA	NA	NA	3	1	0	16	1	7	1	9	2	3	180	90	3	5	4	1	7	1	NA	3	3	6	6	1	5	8	4	8	9	8	53	10	8	13	NA	NA	NA	9	18	1	3	5	9	3	2	5	175	70	6	6	2	2	3	1	NA	3	1	6	4	1	2	11	11	12	7	11	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_4JE1oCXAmGYUVxj	33	180	100	1	NA	NA	NA	NA	4	1	0	26	7	2	5	4	3	5	178	85	5	6	4	2	2	1	NA	1	1	6	4	3	5	13	4	4	2	6	70	18	12	27	NA	NA	NA	9	21	2	7	6	6	2	2	3	183	120	4	6	3	2	3	1	NA	3	3	6	6	2	5	5	8	13	4	7	34		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9nl5gTw8Gx3Gzid	34	108	84	1	NA	NA	NA	NA	2	1	0	25	1	7	5	6	1	3	198	95	4	5	5	2	2	1	NA	3	1	1	1	1	3	12	8	5	7	6	45	10	14	18	NA	NA	NA	6	18	1	7	5	5	3	2	1	174	85	3	3	3	2	6	1	NA	3	1	2	4	5	2	9	12	12	8	12	27		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6rrpcQDBWdy9t6l	21	62	0	1	1	1	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	15	10	18	7	24	NA	NA	2	6	5	8	2	1	6	182	80	6	6	3	2	2	1	NA	2	2	4	2	2	4	7	13	13	3	9	65		2	NA	NA	8	1	4	20	2	2	2	5	8	4	5	175	88	5	5	2	2	2	1	NA	3	2	5	3	3	2	10	8	11	11	9	49	15	9	3	15
R_eFo4uVoyuk01xbf	23	NA	NA	1	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_bkI5SiWpRHlgPdj	32	NA	NA	2	NA	NA	NA	NA	3	1	0	20	2	3	5	6	3	3	178	72	7	5	4	2	2	1	NA	3	1	5	2	4	1	14	13	12	14	10	62	10	11	15	NA	NA	NA	7	15	8	3	5	4	4	2	3	170	63	3	2	5	2	5	1	NA	3	2	2	1	4	2	9	10	11	4	4	60		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_50ds3RAV5R7JGGV	32	156	132	1	NA	NA	NA	NA	2	2	0	19	2	7	5	5	2	3	182	90	5	5	2	1	3	1	NA	2	4	3	3	3	5	13	12	9	12	13	50	10	10	11	NA	NA	NA	8	21	1	2	5	4	3	2	5	185	90	6	6	2	1	1	1	NA	2	1	6	3	3	1	12	10	9	9	12	44		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cNGgoZdHNMpzOdf	21	NA	NA	1	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_bOvRuFdS0KyelVz	23	NA	NA	1	NA	NA	NA	NA	1	1	0	20	1	4	4	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	5	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_74eiIFnOeVCKXFb	19	NA	NA	1	NA	NA	NA	NA	1	1	0	19	1	7	5	5	2	3	186	103	5	5	2	1	2	1	NA	3	2	5	3	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_86vvwpG7nV9tetL	27	60	48	1	NA	NA	NA	NA	2	1	0	21	8	7	1	6	1	3	178	80	6	6	5	2	2	1	NA	2	2	4	3	3	1	10	6	8	12	8	66	16	11	18	NA	NA	NA	NA	14	2	3	5	4	3	2	3	183	116	2	6	4	2	2	1	NA	3	1	4	6	3	5	12	12	14	9	8	48		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3BMLkQjdPWBxg2N	27	pÏt	0	1	NA	NA	NA	NA	2	1	0	23	2	3	5	9	3	6	185	100	4	4	4	2	3	1	NA	2	4	5	6	1	5	9	10	7	9	9	32	10	16	16	NA	NA	NA	15	10	3	2	1	9	NA	2	1	177	85	5	6	2	1	2	1	NA	4	2	4	4	6	4	12	12	10	6	10	48		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_4HHU97Z6WGzjCAd	38	NA	NA	2	NA	NA	NA	NA	4	2	0	22	2	3	5	9	3	5	178	75	6	6	4	2	3	1	NA	2	1	5	3	3	2	13	7	13	12	12	61	12	11	14	NA	NA	NA	9	21	2	2	4	7	4	2	5	175	80	4	5	4	NA	8	2	NA	3	3	3	4	3	5	12	11	8	10	11	28		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_7ZI7UATiaOXYX53	29	36	30	1	NA	NA	NA	NA	3	1	0	20	1	2	5	6	3	5	174	68	6	6	4	2	6	1	NA	2	1	4	2	4	5	9	13	7	10	6	22	8	21	14	NA	NA	NA	16	21	1	7	4	8	1	2	6	180	66	7	5	4	1	1	1	NA	2	2	2	1	2	2	9	8	7	11	13	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_d9XyI60eQXujIDH	31	NA	NA	2	NA	NA	NA	NA	2	1	0	27	1	3	7	6	2	3	178	80	5	4	2	1	3	1	NA	2	1	5	3	3	3	11	6	13	11	7	68	11	11	17	NA	NA	NA	14	19	1	3	7	9	3	2	3	181	90	6	6	3	2	3	1	NA	4	1	5	4	4	4	7	13	7	9	8	31		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8wsk3GjZE7xcTVX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_e4ImzLVYb7pWRYV	24	25	21	1	NA	NA	NA	NA	3	2	0	19	1	3	7	3	4	5	175	100	4	4	4	2	1	1	NA	3	1	5	5	6	4	12	13	12	12	12	33	8	17	14	NA	NA	NA	14	8	5	7	7	8	3	3	6	195	92	5	5	4	2	3	1	NA	2	2	4	3	1	5	6	8	12	9	7	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_bkEcpPn87XFYCzj	30	5	0	1	NA	NA	NA	NA	2	2	0	21	1	7	5	5	3	5	177	85	5	5	4	2	3	1	NA	3	1	4	2	2	2	10	11	12	12	7	35	8	20	12	NA	NA	NA	20	20	1	6	5	9	2	2	1	183	75	7	5	3	1	6	1	NA	2	1	2	1	1	2	13	13	12	13	13	43		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3lc3TZjAnBpGCpL	20	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9H36e6vHogvru4J	30	NA	NA	2	NA	NA	NA	NA	3	4	0	23	1	7	5	6	1	3	186	79	5	5	4	2	3	1	NA	1	3	5	2	1	3	11	14	5	9	11	30	7	24	18	NA	NA	NA	19	12	1	3	7	9	2	2	3	180	130	4	6	4	2	1	1	NA	1	4	5	8	4	3	14	9	7	11	14	58		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_eP8ehsxEe3Hk5Vz	32	60	36	1	NA	NA	NA	NA	2	1	0	25	2	7	1	6	3	2	175	72	6	4	2	1	1	1	NA	2	1	3	2	2	3	5	11	12	12	8	42	9	18	22	NA	NA	NA	14	18	2	3	6	6	3	2	3	186	90	6	6	5	2	3	1	NA	2	2	4	2	1	2	7	13	12	12	12	35		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cHEVM3Xp6hBdf4V	27	18	12	1	NA	NA	NA	NA	4	1	0	16	2	7	1	9	2	3	178	85	5	4	3	2	2	1	NA	2	2	4	4	3	1	12	13	10	14	5	49	7	22	16	NA	NA	NA	19	20	2	6	5	9	2	2	3	177	71	5	4	2	1	1	1	NA	2	1	3	1	4	1	11	12	14	11	6	46		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3h2ldGMTNJ2r9zL	26	14	0	1	1	1	2	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	20	26	NA	NA	1	7	7	9	2	NA	2	183	131	7	3	2	1	2	1	NA	3	2	6	9	2	4	12	8	5	8	9	NA		2	NA	NA	8	1	3	19	2	1	1	5	9	3	5	168	78	4	6	4	2	2	1	NA	3	1	4	6	4	4	6	7	6	6	6	36	21	NA	NA	19
R_2fLfH3QPe8IyWUd	24	NA	NA	2	NA	NA	NA	NA	3	2	0	24	1	3	7	9	3	5	175	95	6	5	4	2	1	1	NA	3	1	4	2	2	4	11	13	7	12	7	25	8	18	15	NA	NA	NA	15	19	1	3	7	9	2	2	5	185	93	6	6	4	2	8	1	NA	2	2	5	3	1	5	10	9	11	7	10	54		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_4Zum9lCtduHRCLP	36	183	146	1	NA	NA	NA	NA	4	1	0	24	7	7	5	6	2	5	176	100	4	4	4	2	3	1	NA	7	3	3	5	5	1	14	13	10	13	11	62	10	13	19	NA	NA	NA	7	19	7	7	1	5	2	2	6	189	74	6	5	2	1	2	1	NA	2	1	4	2	2	2	12	13	14	12	4	30		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_20rtEOnp8iNSnOt	29	99	84	1	NA	NA	NA	NA	2	2	0	20	3	3	7	6	3	5	177	75	6	5	4	2	6	1	NA	2	2	5	2	4	3	3	11	12	14	6	25	8	16	15	NA	NA	NA	15	18	1	7	5	5	3	2	6	175	78	5	4	4	2	6	1	NA	3	1	4	3	4	1	7	8	14	12	8	32		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9WUXNz03myCGAV7	24	NA	NA	1	1	1	2	NA	1	3	NA	NA	1	7	5	6	3	1	185	79	4	5	5	2	1	1	NA	3	3	5	4	2	3	13	12	4	10	9	23	10	20	16	9	15	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	0	7	3	1	7	14	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9ZxnUAnKavwCSZD	25	30	18	1	NA	NA	NA	NA	NA	2	0	24	1	7	1	6	2	4	180	75	5	2	2	1	1	1	NA	3	4	4	3	3	4	9	12	12	9	11	42	15	15	15	NA	NA	NA	11	11	1	3	5	9	3	NA	5	198	90	5	5	2	1	2	1	NA	2	2	6	4	1	4	6	9	9	12	8	57		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_2ujMlltscVDbyjr	27	91	80	1	NA	NA	NA	NA	2	1	0	15	5	7	1	9	2	3	193	100	4	6	2	1	2	1	NA	2	4	6	6	1	3	11	14	8	12	9	46	7	24	23	NA	NA	NA	17	21	5	7	1	6	3	3	4	185	75	6	4	4	2	2	1	NA	5	1	4	3	3	3	9	13	12	11	8	59		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
