ResponseId	Resp_age	Relationship_lenght_month	Cohabitation_lenght_month	Long_term_relationship_yes_no	Grew_up_with_biol_and_nonbiol_yes_no	Grew_up_with_only_one_nonbiol	Biol_in_one_household_after_divorce_yes_no	Biol_in_one_household_after_divorce_yes_no_lenth	Resp_occupation	Resp_sexual_orientation	Grew_up_from_biol	Grew_up_till_biol	Biol_residence	Biol_education	Biol_religion	Biol_policy	Biol_wealth	Biol_profession	Biol_height	Biol_weight	Biol_attractiveness	Biol_masculinity	Biol_eye_colour	Biol_eye_colour_dark_light	Biol_hair_colour	Biol_hair_colour_natural_yes_no	Biol_hair_colour_natural	Biol_facial_masculinity	Biol_beard	Biol_muscularity	Biol_BMI	Biol_relative_height	Biol_body_hair	Biol_Extraversion	Biol_Agreebleness	Biol_Conscientiousness	Biol_Emotional_stability	Biol_Oppeness	Biol_IPIP	Biol_EMBU_rejection	Biol_EMBU_emotional_warmth	Biol_EMBU_overprotection	Nonbiol_EMBU_rejection	Nonbiol_EMBU_emotional_warmth	Nonbiol_EMBU_overprotection	Biol_relationship_quality	Mother_relationship_quality	Part_residence	Part_education	Part_religion	Part_policy	Part_wealth	Part_occupation	Part_profession	Part_height	Part_weight	Part_attractiveness	Part_masculinity	Part_eye_colour	Part_eye_colour_dark_light	Part_hair_colour	Part_hair_colour_natural_yes_no	Part_hair_colour_natural	Part_facial_masculinity	Part_beard	Part_muscularity	Part_BMI	Part_relative_height	Part_body_hair	Part_Extraversion	Part_Agreebleness	Part_Conscientiousness	Part_Emotional_stability	Part_Oppeness	Part_IPIP		Remember_biol_yes_no	Grew_up_from_biol	Grew_up_till_biol	Meeting_biol_after_divorce	Remember_nonbiol_yes_no	Grew_up_from_nonbiol	Grew_up_till_nonbiol	Who_is_considered_as_father_biol_nonbiol	Nonbiol_residence	Nonbiol_education	Nonbiol_religion	Nonbiol_policy	Nonbiol_wealth	Nonbiol_profession	Nonbiol_height	Nonbiol_weight	Nonbiol_attractiveness	Nonbiol_masculinity	Nonbiol_eye_colour	Nonbiol_eye_colour_dark_light	Nonbiol_hair_colour	Nonbiol_hair_colour_natural_yes_no	Nonbiol_hair_colour_natural	Nonbiol_facial_masculinity	Nonbiol_beard	Nonbiol_muscularity	Nonbiol_BMI	Nonbiol_relative_height	Nonbiol_body_hair	Nonbiol_Extraversion	Nonbiol_Agreebleness	Nonbiol_Conscientiousness	Nonbiol_Emotional_stability	Nonbiol_Oppeness	Nonbiol_IPIP	Mother_relationship_quality	Biol_relationship_quality_before_divorce	Biol_relationship_quality_after_divorce	Nonbiol_relationship_quality
R_bl9QPXodSkYY5bn	27	16	0	1	1	1	2	NA	3	2	NA	NA	1	4	1	8	4	5	184	82	6	5	2	2	2	1	NA	3	2	4	3	5	3	7	3	8	5	6	56	13	18	34	8	7	9	NA	NA	1	7	5	8	4	3	4	181	85	7	5	4	2	3	1	NA	3	2	5	4	4	2	12	12	12	12	12	47		1	0	4	3	1	4	27	1	1	2	5	8	3	5	184	88	2	5	2	2	7	1	NA	3	1	4	3	5	4	13	10	8	11	11	47	20	15	18	6
R_bpZJSzWWowmBFqd	28	102	60	1	NA	NA	NA	NA	3	1	0	15	1	7	5	3	2	4	175	65	5	5	2	1	5	1	NA	2	1	4	2	3	2	11	9	12	10	12	49	10	20	13	NA	NA	NA	19	21	1	3	5	5	2	2	3	178	85	5	5	3	2	2	1	NA	3	1	3	4	2	4	10	12	6	9	8	46		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_54SlCz5jFc2hZ5P	22	NA	NA	2	NA	NA	NA	NA	1	1	0	22	8	7	1	2	3	5	190	85	5	6	4	2	1	1	NA	2	1	5	3	2	3	14	6	12	5	10	65	11	9	22	NA	NA	NA	15	19	8	2	5	8	3	2	5	180	80	6	5	4	2	3	1	NA	3	2	5	3	4	4	14	13	6	10	13	29		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9XhbJLTjoGFo00B	20	19	0	1	NA	NA	NA	NA	3	2	0	19	1	7	5	6	2	3	180	71	5	5	2	1	2	1	NA	2	1	3	3	2	2	13	12	12	14	10	55	13	13	16	NA	NA	NA	14	20	1	3	5	9	3	1	4	190	71	7	6	3	2	2	1	NA	2	1	4	2	1	4	11	13	12	14	6	36		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_72s6Hs2KoaLY6dD	21	30	0	1	NA	NA	NA	NA	3	1	0	18	2	2	5	7	3	5	185	100	4	5	3	1	2	1	NA	3	1	7	4	1	1	12	6	2	6	8	70	26	10	24	NA	NA	NA	7	18	1	6	2	3	2	3	2	173	75	6	6	2	1	1	1	NA	2	1	5	2	4	3	9	14	12	8	11	28		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_eDxhmJkERSrtAm9	21	5	0	1	1	1	2	NA	2	2	NA	NA	2	1	5	9	4	5	169	95	3	4	2	1	1	1	NA	5	2	3	6	4	3	6	8	4	9	5	33	11	9	17	9	20	18	NA	NA	6	3	5	9	3	2	5	175	80	6	6	4	2	3	1	NA	1	1	6	3	3	1	13	14	8	9	9	41		1	0	3	2	1	6	21	2	2	3	5	9	3	2	178	93	5	5	2	1	2	1	NA	2	1	4	3	3	2	7	10	11	13	11	50	21	9	9	21
R_bsImgRj5tH4uNA9	21	NA	NA	1	NA	NA	NA	NA	1	1	0	18	2	2	5	6	3	5	180	100	5	6	2	2	2	1	NA	2	1	6	5	1	2	12	7	2	5	7	70	20	10	20	NA	NA	NA	7	19	1	6	2	4	2	3	2	173	75	6	6	2	1	1	1	NA	2	2	5	2	4	3	12	13	13	9	10	32		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_7256ljDWyC6KMAd	86	NA	NA	1	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	14	7	11	14	NA		1	0	3	4	1	3	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cNFNH2YupdgU2ON	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3OxbCgHI0HUNkGx	29	NA	NA	1	1	1	1	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	15	16	3	1	14	15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
